#####################
#
# measurement of 406FG1000-flat-pyIVLS
#
#date 15-Aug-2025, 10:37:51
#Keithley source smua
#Source in voltage injection mode
#Steps in sweep 401
#Sweep repeat for 1 times
#Start value for sweep -0.5 V
#End value for sweep 2.0 V
#Limit for sweep step 0.5 A
#Measurement stabilization period is done in AUTO mode
#NPLC value 20.0 ms (for detected line frequency 50 Hz is 1.0)
#
#
#Continuous operation of the source
#
#
#
#
#
#
#
#Comment: pyIVLS automated sweep test on a new sample
#
#
#
#
#
#High capacitance mode for source is disabled
#
#
#
#
#
#
#
#
#
#
#Sourse in 4 point measurement mode
#
IS_4pr, VS_4pr
1.891219625349e-09,-5.000729560852e-01
-2.102872187493e-08,-4.937939643860e-01
-4.480936510731e-08,-4.875612258911e-01
-7.317451178324e-08,-4.813108444214e-01
-6.014666269039e-06,-4.750363826752e-01
-6.168974323373e-06,-4.687988758087e-01
-6.321444288915e-06,-4.625601768494e-01
-6.463471436291e-06,-4.562835693359e-01
-6.605088401557e-06,-4.500510692596e-01
-6.744960501237e-06,-4.438087940216e-01
-6.883391961310e-06,-4.375369548798e-01
-7.018488304311e-06,-4.313066005707e-01
-7.153294063755e-06,-4.250690937042e-01
-7.285187166417e-06,-4.187955856323e-01
-7.418528639391e-06,-4.125595092773e-01
-7.551012004115e-06,-4.062757492065e-01
-7.680252565478e-06,-4.000391960144e-01
-7.807620931999e-06,-3.938052654266e-01
-7.936534530017e-06,-3.875300884247e-01
-8.065788279055e-06,-3.812878131867e-01
-8.193985195248e-06,-3.750557899475e-01
-8.317238098243e-06,-3.687744140625e-01
-8.446374522464e-06,-3.625380992889e-01
-8.573796549172e-06,-3.563015460968e-01
-8.698139936314e-06,-3.500216007233e-01
-8.825049917505e-06,-3.437907695770e-01
-8.948831236921e-06,-3.375504016876e-01
-9.072873581317e-06,-3.312730789185e-01
-9.198325642501e-06,-3.250343799591e-01
-9.321218385594e-06,-3.188002109528e-01
-9.446684089198e-06,-3.125245571137e-01
-9.574928299116e-06,-3.062868118286e-01
-9.702986972116e-06,-3.000531196594e-01
-9.827959729591e-06,-2.937693595886e-01
-9.944827070285e-06,-2.875335216522e-01
-7.009649416432e-04,-2.813019752502e-01
-7.102868985385e-04,-2.750244140625e-01
-7.185981376097e-04,-2.687938213348e-01
-7.266417960636e-04,-2.625536918640e-01
-7.340060546994e-04,-2.562727928162e-01
-7.413057610393e-04,-2.500391006470e-01
-7.482205983251e-04,-2.437994480133e-01
-7.553803152405e-04,-2.375271320343e-01
-7.624755380675e-04,-2.312910556793e-01
-7.694713422097e-04,-2.250554561615e-01
-7.763201138005e-04,-2.187759876251e-01
-7.827148656361e-04,-2.125401496887e-01
-7.896507158876e-04,-2.063009738922e-01
-7.968615391292e-04,-2.000142335892e-01
-8.038828964345e-04,-1.937608569861e-01
-8.111380739137e-04,-1.875148117542e-01
-8.178963907994e-04,-1.812662929296e-01
-8.243534830399e-04,-1.750161498785e-01
-8.311084820889e-04,-1.687669008970e-01
-8.378479979001e-04,-1.625164598227e-01
-8.445909479633e-04,-1.562657356262e-01
-8.515132940374e-04,-1.500180810690e-01
